Covidence #,Study ID,Title,Reviewer Name,Authors,Publication date,Journal,Inclusion criteria,Did the study use any of the following approaches (typical signals of a causal question)?,Causal interpretation,Type of study design,Was the size of the inception sample* for the research question of interest available or able to be established?,What was the size of the inception sample*?,"Was there a reduction in participants from the inception sample to the analysis sample due to non-response or missing data in a variable used in the analysis (exposure, outcome, covariates)?",What was the size of the analysis sample*?,Was the percentage of complete cases* available or able to be established?,Percentage of complete cases / upper bound on the percentage of complete cases,What was the exposure?,Were there missing values in the exposure?,Percentage of missing values in the exposure / lower bound on the percentage of missing values in the exposure,What was the outcome?,Were there missing values in the outcome?,Percentage of missing values in the outcome / lower bound on the percentage of missing values in the outcome,Were there missing values in the covariates?,Was a statement provided about what missingness assumptions were made?,Were missingness assumptions justified?,Details of justification for missingness assumptions,Did authors address the potential for data to be MNAR?,Primary method of analysis,Was the primary analysis justified on the basis of missingness assumptions?,Details of justification for primary analysis on the basis of missingness assumptions.,Was a secondary analysis that handles missing data differently used to answer the same causal question?,Was the secondary analysis justified?,"If a delta-adjusted analysis was used, was external information incorporated in the analysis?","If a delta-adjusted analysis was used, provide details of the delta-adjusted analysis",What method was used for multiple imputation?,What software was used for multiple imputation?,Number of imputations used in the multiple imputation procedure,Were all analysis variables included in the imputation model?,Were auxiliary variables included in the imputation model?,Were interactions included in the imputation model?,"If results were obtained using both a CCA and MI, did the authors observe any substantial difference between these?","If results were obtained using both a CCA and MI, AND no substantial difference between these two sets of results was observed, was any interpretation or explanation provided for the similarities between the two sets of results? If so, what was the interpretation or explanation?",Any other comments?
52,Colen 2021,Racial Disparities in Health Among College-Educated African Americans: Can Attendance at Historically Black Colleges or Universities Reduce the Risk of Metabolic Syndrome in Midlife?,Rheanna Mainzer,Colen,Nov-20,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,Our results underscore the important role that HBSUs play in the lives of African Americans and suggest their impacts go far beyond traditional benchmarks of socioeconomic achievement to include key health outcomes.,Prospective longitudinal study,Yes,1214,"Yes, both non-response and missing data in an analysis variable",727,Able to establish an upper bound only,95%,Tertiary education: Historically Black College or Universities (HBCUs) or predominantly White institutions (PWIs),No,0%,"Metabolic syndrome (classified as ""high-risk"" on >=3/5 biomarkers of cardiovascular health)","Yes, but unable to establish the percentage of missing values",NA,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",Other: MI for covariates combined with single imputation for outcomes (non-standard application),No,No: We did not impute values for dependent variables of interest; doing so adds little in efficiency and can create biased estimates.,"Other: Yes, analysis with respondents who had complete data on all metabolic syndrome indicators","Yes, as a sensitivity analysis (without further justification)",NA ,NA,MICE,Other: Not reported,Not reported,Unclear,Unclear,Unclear,NA,#NAME?,
51,Cohen 2019,Paternal antidepressant use as a negative control for maternal use: assessing familial confounding on gestational length and anxiety traits in offspring,Rheanna Mainzer,Cohen,Aug-19,International Journal of Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"these results increase our confidence in the suggested effect of maternal use of antidepressants in pregnancy on shorter gestation. However, our results suggest familial confounding for the effect of prenatal exposure to antidepressants on offspring internalizing mental health outcomes may bias estimates in the positive direction. Care-givers and healthcare personnel should support parents with mental health problems and their children, as these families may have extra challenges.",Prospective longitudinal study,"No, eligibility criteria required one or more variables to be complete",NA,"Yes, both non-response and missing data in an analysis variable",70959,Able to establish an upper bound only,13,Paternal self-reported antidepressant use in the 6 months prior to pregnancy,No,0,Gestational age at birth,No,0,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,"Yes, unweighted CCA",No,NA ,NA,MICE,Stata,20,Yes,No,No,NA,NA,
47,Chigogora 2020,Could Greater Physical Activity Reduce Population Prevalence and Socioeconomic Inequalities in Children’s Mental Health Problems? A Policy Simulation,Rheanna Mainzer,Chigogora,Jan-20,Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,Our study suggests that increasing physical activity in children in the United Kingdom according to WHO policy guidance may have little effect on prevalence and inequality in internalizing mental health problems.,Prospective longitudinal study,Yes,18296,"Yes, both non-response and missing data in an analysis variable",6493,Yes,84,Moderate-to-vigorous physical activity (mediator but primarily of interest),No,0,Internalizing mental health problems (SDQ score),Yes,9,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,Yes,MI was used because it was assumed that data were MAR,"Yes, weighted CCA (e.g. using IPW)","Yes, as a sensitivity analysis (without further justification)",NA ,NA,MICE,Stata,20,No,Yes,No,No,No: findings were substantially the same as in the multiply imputed analytic sample,NA
46,Chen 2020,Dietary protein intake and all-cause and cause-specific mortality: results from the Rotterdam Study and a meta-analysis of prospective cohort studies,Rheanna Mainzer,Chen,Feb-20,European Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Overall, the evidences provided herein indicates the importance of specific protein sources for overall health, especially CVD health, and support a replacement of animal protein intake with plant protein intake.",Prospective longitudinal study,Yes,14926,"Yes, both non-response and missing data in an analysis variable",7786,Able to establish an upper bound only,78,Total protein intake,No,0,All-cause mortality,No,0,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,No,NA,NA ,NA,Unclear,R,10,Unclear,Unclear,Unclear,NA,NA,Time to event analysis
45,Chen 2020,Religious-service attendance and subsequent health and well-being throughout adulthood: evidence from three prospective cohorts,Rheanna Mainzer,Chen,Aug-20,Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Religious-service attendance is potentially a powerful social determinant of health. While regression analyses with observational data generally cannot definitively establish causality, they can provide evidence and, for many of the outcomes examined here, the evidence is not quite strong.",Prospective longitudinal study,"No, eligibility criteria required one or more variables to be complete",NA,"Yes, non-response",92008,Able to establish an upper bound only,72,"Religious service attendance (never, < once per week, >= once per week)",Yes,2,Physical health (all-cause mortality),"Yes, but only able to establish a lower bound on the percentage of missing values",1,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,"Yes, unweighted CCA","Yes, as a sensitivity analysis (without further justification)",NA ,NA,Unclear,Other: SAS + Stata,5,Unclear,Unclear,Unclear,No,No: the sensitivity analysis using complete cases yielded similar results to the primary analyses,#NAME?
44,Chen 2020,Risk of intellectual disability in children born appropriate-for-gestational-age at term or post-term: impact of birth weight for gestational age and gestational age,Katherine Lee,Chen,Dec-19,European Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,Trying to adjust for unmeasured confounding,"Retrospective analysis of routinely collected data (e.g., administrative or EMR data)",Yes,1136671,,828948,Able to establish an upper bound only,89%,Birthweight,No,NA,Intellectual disability,No,NA,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed","CCA, unweighted",No,NA,"Yes, MI using the full analysis sample",No,NA ,NA,Unclear,Stata,10,Unclear,Unclear,Unclear,No,No,
44,Chen 2020,Risk of intellectual disability in children born appropriate-for-gestational-age at term or post-term: impact of birth weight for gestational age and gestational age,Rheanna Mainzer,Chen,Dec-19,European Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"The increased risk for children born post-term might indicate that a failure to be born full term (39-40 weeks) might relate to other congenital developmental conditions or that perinatal asphyxia related to post-term birth might have an adverse impact on brain development, compared to full term birth....
higher birth weight percentiles were associated with higher risk of intellectual disability for post-term children, although not significant for 60th-74th percentiles, lending further support for interventions to deliver infants if pregnancy prolongation is considered hazardous.","Retrospective analysis of routinely collected data (e.g., administrative or EMR data)","No, eligibility criteria required one or more variables to be complete",NA,"Other: Yes, missing data",828948,Able to establish an upper bound only,89,Birth weight percentile (five categories),No,0,Intellectual disability,No,0,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,NA,"No, the possibility that data were MNAR was not addressed","CCA, unweighted",No,NA,"Yes, MI using the full analysis sample","Other: Yes, as a sensitivity analysis to assess the robustness of the overall associations assessed in the primary analysis",NA ,NA,MICE,Stata,10,Unclear,Unclear,Unclear,No,no,Time to event analysis
44,Chen 2020,Risk of intellectual disability in children born appropriate-for-gestational-age at term or post-term: impact of birth weight for gestational age and gestational age,Consensus,Chen,Dec-19,European Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"The increased risk for children born post-term might indicate that a failure to be born full term (39-40 weeks) might relate to other congenital developmental conditions or that perinatal asphyxia related to post-term birth might have an adverse impact on brain development, compared to full term birth....
higher birth weight percentiles were associated with higher risk of intellectual disability for post-term children, although not significant for 60th-74th percentiles, lending further support for interventions to deliver infants if pregnancy prolongation is considered hazardous.","Retrospective analysis of routinely collected data (e.g., administrative or EMR data)","No, eligibility criteria required one or more variables to be complete",NA,"Other: Yes, missing data",828948,Able to establish an upper bound only,89,Birth weight percentile (five categories),No,0,Intellectual disability,No,0,"Yes, in 2 or more covariates","Other: No, but appeal to MAR in discussion",No,NA,"No, the possibility that data were MNAR was not addressed","CCA, unweighted",No,NA,"Yes, MI using the full analysis sample","Other: Yes, as a sensitivity analysis to assess the robustness of the overall associations assessed in the primary analysis",NA ,NA,MICE,Stata,10,Unclear,Unclear,Unclear,No,No,Time to event analysis
43,Chen 2019,Serum 25-hydroxyvitamin D3 is associated with advanced glycation end products (AGEs) measured as skin autofluorescence: The Rotterdam Study,Rheanna Mainzer,Chen,Jan-19,European Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Although authors state that no conclusions can be made about the causality of the relationship, the question appears causal, e.g. ""Because vitamin D may prevent AGEs accumulation through its anti-inflammatory properties, we studied in a large propective cohort (the Rotterdam Study) whether serum 25()H)D_3 concentration at baseline was associated with AGEs in the skin assessed by SAF at follow-up.""",Prospective longitudinal study,Yes,3009,"Yes, missing data in an analysis variable",2746,Yes,87,Serum 25-hydroxyvitamin D_3 (serum 25(OH)D_3),No,0,Skin autofluorescence (SAF),No,0,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",Yes,Missing data mechanism was distinguished as missing at random (MAR) from missing completely at random (MCAR) through Little's test and t-test.,"No, the possibility that data were MNAR was not addressed","CCA, unweighted",No,NA,"Yes, MI using the full analysis sample","Other: Yes, to reduce potential bias caused by including only participants with complete information and exploit information in incomplete record participants. ",NA ,NA,MICE,Unclear,20,Unclear,Unclear,Unclear,Yes,No: The coefficient of the association between 25(OH)D_3 and SAF remained the same after multiple imputations with that before multiple imputations. eGFR became significantly associated with SAF after multiple imputation. A similar association between 25(OH)D_3 and SAF was also found after multiple imputation in the participants with incomplete data. No explanation provided for similarities/differences.,"-Table 2 fallacy
- Participants recruited from three subcohorts of a population-based propsective cohort study
- 255 participants with missing value in serum 25(OH)D_3 concentration were additionally excluded mainly because of inadequate blood sample volume for analysis
- Sample reduced to complete exposure"
42,Chasekwa 2021,"Prevalence, risk factors and short-term consequences of adverse birth outcomes in Zimbabwean pregnant women: a secondary analysis of a cluster-randomized trial",Rheanna Mainzer,Chasekwa,Dec-21,International Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,Neonatal mortality and stillbirth are high in Zimbabwe and appear to be driven by high preterm birth. Interventions for primary prevention of preterm birth and strengthened management of preterm labour and ill and small neonates are required to reduce neonatal mortality in Zimbabwe and other African countries with similar profiles.,Other: Secondary analysis of cluster-randomised trial,Yes,5270,"Yes, missing data in an analysis variable",4474,Yes,66%,"Birthweight (term normal birthweight, preterm normal birthweight, term low birthweight, preterm low birthweight)","Yes, but only able to establish a lower bound on the percentage of missing values",4%,Neonatal death,No,0,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,"In results section authors state ""Compared with all live births, a greater proportion of the 3667 infants with complete data were born in a health institution and neonatal mortality was substantially lower"" which suggests data are not MCAR. ","No, the possibility that data were MNAR was not addressed",MI using a reduced analysis sample,Yes,MI was used assuming a missing-at-random pattern,No,NA,NA ,NA,MICE,Stata,Not reported,Unclear,Unclear,Unclear,NA,NA,"- Table 2 fallacy
- Not clear if multiple imputation was actually used, despite being stated that it was used to account for any missing data
- Assuming that sample sizes given in Table 3 are the complete cases
- Upper bound for exposure: 4304/4843 have exposure data, 369 excluded due to >10 missing covariates. At least 170/4474 missing."
41,Cepelis 2019,"Asthma, asthma control and risk of acute myocardial infarction: HUNT study",Rheanna Mainzer,Cepelis,Sep-19,European Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,the observed association does not prove a causal relationship since the association could still be due to residual confounding,Prospective longitudinal study,Yes,78964,"Yes, missing data in an analysis variable",66668,Yes,86,Asthma (no / non-active / active),No,0,Acute myocardial infarction (AMI),No,0,"Yes, in 1 covariate only",No,No,NA,"No, the possibility that data were MNAR was not addressed","CCA, unweighted",No,NA,"Yes, MI using the full analysis sample","Other: Yes, to assess impact of missing data on the results",NA ,NA,MICE,Stata,Not reported,Unclear,Unclear,Unclear,No,No,Time to event analysis
34,Borch 2019,"Risk of lung cancer and physical activity by smoking status and body mass index, the Norwegian Women and Cancer Study",Rheanna Mainzer,Borch,May-19,European Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,The potential of a modifiable lifestyle factor as PA to reduce the risk of lung cancer independently of smoking status is important in public health,Prospective longitudinal study,"No, eligibility criteria required one or more variables to be complete",NA,"Yes, missing data in an analysis variable",86499,Yes,93,Physical activity (5 categories),No,0,Lung cancer overall,No,NA,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,NA,"Yes, but only as a study limitation",MI using the full analysis sample,Yes,MI was used because it was assumed that data were MAR,"Yes, unweighted CCA",No,NA ,NA,MICE,Stata,20,Yes,Yes,No,Yes,No,Survival analysis
31,Blouin 2019,Bayesian Methods for Exposure Misclassification Adjustment in a Mediation Analysis: Hemoglobin and Malnutrition in the Association Between: Ascaris: and IQ,Katherine Lee,Blouin,Sep-19,Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"The objective of the current research, therefore, was to apply modern mediation analysis methodology to assess the extent to which an association between Ascaris infection and IQ scores20 is mediated by hemoglobin levels and malnutri-tion in preschool children",Prospective longitudinal study,"No, eligibility criteria required one or more variables to be complete",NA,,880,Able to establish an upper bound only,89%,"cumulative Ascaris infection, defined as the number of times that each child was found infected with Ascaris across the five study visits",Yes,1%,"Child development with the Wechsler Preschool and Primary Scale of De-velopment, Third Edition (WPPSI-III) – Spanish version",Yes,11%,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,NA,"No, the possibility that data were MNAR was not addressed",MI using a reduced analysis sample,,,No,,NA ,NA,MICE,Unclear,No given,Yes,Yes,No,NA,NA,
31,Blouin 2019,Bayesian Methods for Exposure Misclassification Adjustment in a Mediation Analysis: Hemoglobin and Malnutrition in the Association Between: Ascaris: and IQ,Rheanna Mainzer,Blouin,Sep-19,Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,Our results are consistent with the hypothesis that soil-transmitted helminth control programs targeted to young children may be beneficial in terms of child development.,Prospective longitudinal study,Yes,1760,,880,Able to establish an upper bound only,80,Cumulative ascaris infection across five study visits (range 0 - 5),Yes,11,Total IQ score at 5 years,Yes,11,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",Yes,"The majority of children lost to follow-up moved homes and/or were impossible to locate. (Therefore, missing data were assumed to be random.)","No, the possibility that data were MNAR was not addressed",MI using a reduced analysis sample,Yes,(Implicit) MI was used because it was assumed that data were MAR,No,Other: NA,NA ,NA,MICE,Unclear,Not reported,Yes,Yes,No,NA,NA,NA
31,Blouin 2019,Bayesian Methods for Exposure Misclassification Adjustment in a Mediation Analysis: Hemoglobin and Malnutrition in the Association Between: Ascaris: and IQ,Consensus,Blouin,Sep-19,Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,Our results are consistent with the hypothesis that soil-transmitted helminth control programs targeted to young children may be beneficial in terms of child development.,Prospective longitudinal study,Yes,1760,Other: Yes,880,Able to establish an upper bound only,80,Cumulative ascaris infection across five study visits (range 0 - 5),Yes,11,Total IQ score at 5 years,Yes,11,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",Yes,"The majority of children lost to follow-up moved homes and/or were impossible to locate. (Therefore, missing data were assumed to be random.)","No, the possibility that data were MNAR was not addressed",MI using a reduced analysis sample,Yes,(Implicit) MI was used because it was assumed that data were MAR,No,Other: NA,NA ,NA,MICE,Unclear,Not reported,Yes,Yes,No,NA,NA,NA
29,Bjelland 2020,The association of birthweight with age at natural menopause: a population study of women in Norway,Rheanna Mainzer,Bjelland,Oct-19,International Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,Our findings suggest that growth restriction during fetal life may influence the timing of natural menopause,Cross-sectional study,"No, eligibility criteria required one or more variables to be complete",NA,"Yes, missing data in an analysis variable",341938,Yes,48,Birthweight (grams),"Yes, but unable to establish the percentage of missing values",NA,Age at natural menopause (years),No,NA,"Yes, in 1 covariate only",Other: Birthweight was not missing completely at random,Yes,Comparison of factors between women who reported birthweight and those who did not,"No, the possibility that data were MNAR was not addressed","CCA, unweighted",No,NA,"Yes, MI using a reduced analysis sample",No,NA ,NA,MICE,Stata,Not reported,Yes,Yes,No,Yes,"Difference noted: similar pattern, but weaker association from MI than CCA",Survival analysis
26,Bijlsma 2019,The Impact of Unemployment on Antidepressant Purchasing: Adjusting for Unobserved Time-constant Confounding in the g-Formula,Rheanna Mainzer,Bijlsma,May-19,Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"At the population level, without fixed-effect intercepts, we find a substantial reduction in antidepressant purchasing in a scenario where everyone is employed. However, when we include individual-level fixed-effect intercepts, we estimate a null effect.",Prospective longitudinal study,Yes,49753,No,49753,Able to establish an upper bound only,95,Employment status (employed / unemployed / retired / other),Unclear,NA,Antidepressant purchasing (yes/no),Unclear,NA,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed","CCA, unweighted",Yes,Since missingness on covariates is very small (<1%) we do not use missing data imputation methods,"Yes, MI using a reduced analysis sample",No,NA ,NA,Unclear,R,Not reported,Unclear,Yes,Unclear,No,"No: using a multiple imputation procedure for this variable, including all time-constant and time-varying covariates, does not substantially alter the findings of this study.","Missing data not described well, focus on causal inference methods"
23,Bhatta 2021,Bone mineral density and risk of cardiovascular disease in men and women: the HUNT study,Rheanna Mainzer,Bhatta ,Sep-21,European Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"our point estimates of hazard ratios may be compatible with a small protective effect on atrial fibrillation and actue [sic] myocardial infarction in men, and a small increased risk of hemorrhagic stroke in men",Prospective longitudinal study,Yes,NA,"Yes, both non-response and missing data in an analysis variable",15484,Able to establish an upper bound only,74,Bone mineral density T-score,No,0,Atrial fibrillation (AF),No,0,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,No,NA,NA ,NA,MICE,Stata,20,Unclear,Unclear,Unclear,NA,NA,Survival analysis
22,Bernasconi 2022,A causal inference approach to compare leukaemia treatment outcome in the absence of randomization and with dependent censoring,Katherine Lee,Bernasconi,Sep-21,International Journal of Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Marginal structural models based on inverse probability of treatment and censoring (IPTC) weighting allow the estimation of potential event-free survival (EFS) as if no abandonment of treatment occurred and the whole cohort was exposed, or not, to both protocols.",Prospective longitudinal study,Yes,1231,,1231,Yes,85%,Treatment protocol,No,NA,Event free survival,No,NA,"Yes, in 1 covariate only",Other: Invoked MCAR assumption: It is plausible to think that these unknown values are missing completely at random (MCAR) (Sterne2009) because they are simply due to a lack in data registration. ,Yes, because they are simply due to a lack in data registration. ,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,,,No,,NA ,,MICE,R,20,Yes,Unclear,Unclear,NA,,
22,Bernasconi 2022,A causal inference approach to compare leukaemia treatment outcome in the absence of randomization and with dependent censoring,Rheanna Mainzer,Bernasconi,Aug-21,International Journal of Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding,The two treatment protocols have substantially the same potential impact on the EFS in the long period (5 years) even though the most recent AHOPCA ALL-2008 protocol seems more effective in the first 3 years from diagnosis.,"Other: Uses data from two studies: (1) retrospective analysis of routinely collected data, (2) prospective longitudinal study",Yes,1231,,1231,Yes,85,Treatment protocol (GHS-2000 or AHOPCA ALL-2008),No,0,Event free survival (EFS) at 5 years,No,0,"Yes, in 1 covariate only","Other: Yes, time to reach hospital was assumed to be MCAR because missingness was due to a lack in data registration. MI used to improve precision.",Yes,Missing covariate values are simply due to a lack in data registration. ,"No, the possibility that data were MNAR was not addressed","Other: CCA, weighted, with MI to handle the missing covariate in the calculation of weights",Yes,"The exclusion of incompletely reported cases from the analysis would probably not affect the results in terms of bias. Nevertheless, this behavior can produce a substantial loss of efficiency in the estimators. Thus a MI procedure was adopted to avoid disregarding some data and to use all of the available information.",No,Other: NA,NA ,NA,MICE,R,20,No,No,No,NA,NA,How to treat treatment abandonment?
22,Bernasconi 2022,A causal inference approach to compare leukaemia treatment outcome in the absence of randomization and with dependent censoring,Consensus,Bernasconi,Aug-21,International Journal of Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,The two treatment protocols have substantially the same potential impact on the EFS in the long period (5 years) even though the most recent AHOPCA ALL-2008 protocol seems more effective in the first 3 years from diagnosis.,Prospective longitudinal study,Yes,1231,,1231,Yes,85,Treatment protocol (GHS-2000 or AHOPCA ALL-2008),No,0,Event free survival (EFS) at 5 years,No,0,"Yes, in 1 covariate only","Other: Yes, time to reach hospital was assumed to be MCAR because missingness was due to a lack in data registration. MI used to improve precision.",Yes,Missing covariate values are simply due to a lack in data registration. ,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,"Other: No, justified to improve efficiency",NA,No,Other: NA,NA ,NA,MICE,R,20,No,No,No,NA,NA,"Adjusted for confounders, but not using standard regression model."
20,Bell-Gorrod 2020,"The Impact of Delayed Switch to Second-Line Antiretroviral Therapy on Mortality, Depending on Definition of Failure Time and CD4 Count at Failure",Katherine Lee,Bell-Gorrod,Mar-20,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding,relationship of delaying second-line treatment initiation for human immunodeficiency virus–positive patients and mortality,Prospective longitudinal study,"No, eligibility criteria required one or more variables to be complete",NA,,8008,Yes,91%,timing of the switch to second-line,No,NA,Mortality,No,this approach is expected to give>96% completeness of mortality data,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed","CCA, unweighted",No,,"Yes, MI using the full analysis sample",No,NA ,,Unclear,Stata,Not stated,Unclear,Unclear,Unclear,No,no,
20,Bell-Gorrod 2020,"The Impact of Delayed Switch to Second-Line Antiretroviral Therapy on Mortality, Depending on Definition of Failure Time and CD4 Count at Failure",Rheanna Mainzer,Bell-Gorrod,Mar-20,American Journal of Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding,We have shown that an early switch of regimen is highly beneficial in terms of reduced mortality.,"Retrospective analysis of routinely collected data (e.g., administrative or EMR data)","No, eligibility criteria required one or more variables to be complete",between 8008 and 8804,,8008,Yes,91%,Time to switch to second-line antiretroviral treatment (months),No,0,Mortality,No,0,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed","CCA, weighted (e.g. using IPW)",No,NA,"Yes, MI using the full analysis sample","Yes, as a sensitivity analysis (without further justification)",NA ,NA,MICE,Unclear,Not reported,Unclear,Unclear,Unclear,NA,Authors did not provide interpretation or explanation,NA
